Brain - Frontal Cortex (BA9),Brain - Caudate (basal ganglia)
Brain - Caudate (basal ganglia),Pituitary
Small Intestine - Terminal Ileum,Breast - Mammary Tissue
Whole Blood,Heart - Atrial Appendage
Brain - Frontal Cortex (BA9),Brain - Cerebellum
Skin - Not Sun Exposed (Suprapubic),Vagina
Adipose - Subcutaneous,Brain - Hippocampus
Kidney - Cortex,Nerve - Tibial
Brain - Cerebellum,Adipose - Subcutaneous
Nerve - Tibial,Brain - Substantia nigra
Brain - Cerebellum,Brain - Substantia nigra
Esophagus - Gastroesophageal Junction,Skin - Sun Exposed (Lower leg)
Testis,Artery - Tibial
Skin - Not Sun Exposed (Suprapubic),Artery - Coronary
Brain - Cortex,Brain - Cerebellum
Artery - Tibial,Brain - Nucleus accumbens (basal ganglia)
Brain - Hippocampus,Brain - Nucleus accumbens (basal ganglia)
Small Intestine - Terminal Ileum,Skin - Sun Exposed (Lower leg)
Pituitary,Cells - Transformed fibroblasts
Esophagus - Gastroesophageal Junction,Uterus
Thyroid,Lung
Skin - Not Sun Exposed (Suprapubic),Artery - Aorta
Brain - Cortex,Muscle - Skeletal
Breast - Mammary Tissue,Brain - Amygdala
Nerve - Tibial,Cells - Transformed fibroblasts
Brain - Putamen (basal ganglia),Artery - Aorta
Adipose - Visceral (Omentum),Heart - Atrial Appendage
Kidney - Cortex,Cells - Transformed fibroblasts
Heart - Atrial Appendage,Breast - Mammary Tissue
Breast - Mammary Tissue,Artery - Tibial
Artery - Coronary,Adipose - Subcutaneous
Whole Blood,Vagina
Skin - Not Sun Exposed (Suprapubic),Esophagus - Mucosa
Colon - Transverse,Skin - Sun Exposed (Lower leg)
Testis,Esophagus - Gastroesophageal Junction
Pancreas,Whole Blood
Brain - Frontal Cortex (BA9),Prostate
Cells - EBV-transformed lymphocytes,Pancreas
Brain - Cerebellar Hemisphere,Pituitary
Heart - Atrial Appendage,Lung
Esophagus - Muscularis,Colon - Sigmoid
Lung,Esophagus - Gastroesophageal Junction
Brain - Cerebellum,Adrenal Gland
Skin - Not Sun Exposed (Suprapubic),Small Intestine - Terminal Ileum
Testis,Pancreas
Spleen,Uterus
Brain - Anterior cingulate cortex (BA24),Skin - Not Sun Exposed (Suprapubic)
Skin - Not Sun Exposed (Suprapubic),Whole Blood
Pancreas,Minor Salivary Gland
Prostate,Minor Salivary Gland
Thyroid,Muscle - Skeletal
Prostate,Lung
Artery - Aorta,Brain - Caudate (basal ganglia)
Liver,Colon - Sigmoid
Adrenal Gland,Testis
Brain - Putamen (basal ganglia),Nerve - Tibial
Esophagus - Mucosa,Vagina
Adrenal Gland,Heart - Atrial Appendage
Uterus,Cells - EBV-transformed lymphocytes
Pituitary,Adipose - Visceral (Omentum)
Artery - Coronary,Ovary
Skin - Not Sun Exposed (Suprapubic),Brain - Putamen (basal ganglia)
Uterus,Colon - Sigmoid
Artery - Tibial,Muscle - Skeletal
Artery - Aorta,Adrenal Gland
Brain - Spinal cord (cervical c-1),Brain - Cerebellum
Colon - Transverse,Artery - Aorta
Esophagus - Gastroesophageal Junction,Artery - Aorta
Brain - Anterior cingulate cortex (BA24),Nerve - Tibial
Adrenal Gland,Esophagus - Gastroesophageal Junction
Adipose - Subcutaneous,Brain - Hypothalamus
Artery - Aorta,Brain - Nucleus accumbens (basal ganglia)
Cells - Transformed fibroblasts,Liver
Brain - Frontal Cortex (BA9),Pituitary
Colon - Sigmoid,Adipose - Visceral (Omentum)
Esophagus - Muscularis,Breast - Mammary Tissue
